<<<<<<< HEAD
R 23
R 122
R 23
R 65
W 87
R 79
R 3
W 107
W 99
W 85
W 62
W 33
W 129
R 122
W 35
R 91
W 101
R 94
W 324
W 103
R 99
R 103
W 78
R 1381
R 15
R 36
R 15
W 1
R 705
R 48
W 5
W 116
R 38
R 147
W 137
R 147
W 59
R 75
R 1192
W 62
W 144
R 618
R 106
W 115
W 67
R 1462
W 140
R 57
R 1190
W 106
W 1245
R 23
W 55
R 56
R 138
W 44
W 26
W 138
R 950
R 147
W 122
R 135
W 73
R 68
R 75
R 11
W 144
W 146
W 91
R 97
R 125
R 111
R 61
R 68
W 117
R 81
R 22
W 784
R 7
R 869
W 105
R 52
W 99
R 38
R 1401
R 131
R 119
W 30
R 4
W 45
R 50
R 147
R 50
R 62
R 254
W 15
W 909
R 133
R 23
R 126
R 130
W 144
W 16
W 33
R 128
W 61
W 69
R 41
R 133
W 38
W 27
R 0
R 115
R 130
R 7
R 76
R 113
R 710
R 57
W 115
W 67
R 117
R 45
R 3
R 8
R 80
R 123
R 220
R 130
R 70
R 53
W 34
W 32
W 142
R 60
W 70
R 50
W 68
R 1380
R 24
R 96
W 110
W 140
R 51
R 118
W 63
R 62
W 17
R 24
W 61
W 110
W 65
W 53
R 141
R 149
R 87
R 41
R 92
R 95
W 61
R 55
R 89
W 4
W 1492
R 130
W 139
W 111
R 1171
R 11
R 40
R 77
R 113
W 127
R 581
R 56
R 101
W 103
R 136
W 10
R 123
W 141
W 27
R 125
W 99
W 126
W 20
W 1260
R 44
R 34
R 39
R 75
R 29
R 90
R 146
R 98
W 102
W 37
W 60
R 1310
R 49
R 93
W 64
W 125
W 83
R 20
R 38
R 86
R 46
R 109
W 135
R 39
W 117
R 95
W 25
R 3
W 1139
R 29
W 1007
R 71
R 50
R 132
R 77
R 89
W 72
W 66
R 29
R 53
R 2
W 7
W 130
W 121
R 977
R 91
W 106
W 89
R 1216
R 93
R 69
R 123
W 93
R 142
R 271
R 136
W 33
R 60
W 89
W 11
R 91
W 64
W 63
R 129
W 70
W 65
R 132
R 147
W 110
R 27
R 120
W 109
R 352
R 94
R 101
W 81
R 11
R 78
R 37
W 303
R 68
R 112
R 43
W 35
R 44
W 2
W 64
R 0
W 147
W 51
R 21
R 103
W 93
R 20
W 80
R 13
R 82
R 43
W 50
W 120
W 33
R 24
R 78
R 148
R 62
R 49
R 405
R 35
R 121
R 101
R 14
R 148
R 85
W 42
R 17
R 116
R 13
W 523
W 111
R 128
R 807
R 86
R 39
W 102
R 4
R 71
W 47
R 104
R 2
W 9
R 56
W 53
W 94
W 133
W 109
W 89
W 149
W 10
W 73
W 1336
W 31
W 148
W 147
W 140
R 113
R 51
R 63
R 50
R 142
W 132
R 29
R 133
W 122
R 18
W 96
R 149
R 125
W 99
W 138
R 50
W 99
W 115
R 59
W 48
R 81
W 51
R 95
W 72
R 69
R 143
R 70
W 92
W 111
R 62
W 84
R 472
W 628
R 66
W 122
R 93
W 6
W 55
R 128
R 112
R 96
R 11
R 5
R 16
R 75
R 57
R 189
R 94
W 29
W 1492
R 26
R 123
W 142
R 28
R 45
R 22
R 70
W 1095
R 43
W 133
W 9
R 13
W 57
R 106
R 4
R 137
W 727
W 141
R 113
W 34
R 127
W 109
R 51
R 134
R 100
R 3
W 125
R 146
R 58
W 20
W 76
W 91
R 92
R 24
W 117
R 94
W 85
R 98
W 123
R 129
R 56
W 29
W 146
R 137
R 141
W 770
R 101
R 46
W 28
W 56
R 79
R 27
W 28
R 921
W 112
R 131
R 18
R 70
W 45
W 27
W 37
W 83
W 55
R 764
W 83
R 44
R 15
R 105
R 91
W 1256
W 12
R 35
R 67
W 0
W 45
W 78
W 36
R 128
R 122
W 19
W 74
R 6
W 19
R 144
W 62
R 20
R 97
R 47
R 46
W 133
W 104
R 136
R 23
W 38
W 71
W 60
R 1093
W 113
R 91
R 32
R 43
W 4
R 53
R 84
R 109
R 133
W 585
R 63
W 101
R 1486
R 130
R 145
R 36
R 85
R 110
R 89
W 66
W 115
W 142
W 85
R 136
W 52
R 56
R 131
W 55
W 101
R 144
R 72
R 13
R 129
R 29
R 14
R 45
R 105
R 60
R 116
W 55
R 143
R 44
W 39
R 20
R 117
R 97
R 40
R 11
R 142
R 12
R 99
R 100
R 52
R 49
R 119
R 115
R 82
W 4
R 105
R 136
R 136
R 98
W 86
R 35
W 17
R 11
W 33
R 11
W 142
R 130
W 15
W 131
R 83
R 136
W 54
R 62
W 127
R 54
R 827
R 132
R 107
R 143
R 143
W 15
R 17
R 134
R 416
R 146
R 1315
R 149
R 1223
W 0
R 59
R 51
W 48
R 94
W 39
W 93
R 11
W 102
R 86
R 17
R 117
R 73
W 130
R 57
R 89
R 77
R 58
W 145
R 16
W 62
R 129
R 23
R 24
R 52
R 65
R 0
W 83
W 8
R 56
W 10
W 67
R 56
W 48
R 108
R 80
R 113
W 129
W 47
R 83
R 44
W 21
R 48
R 17
W 130
R 144
W 13
R 25
W 650
R 104
R 44
W 70
R 71
W 121
W 10
W 144
R 74
R 473
W 7
R 74
W 39
W 80
W 96
R 638
R 84
R 60
W 135
W 144
R 1458
R 143
R 128
W 126
R 31
W 461
R 24
R 2
R 92
R 123
W 26
W 89
R 69
R 25
W 9
W 225
R 98
R 18
R 81
W 0
W 80
W 49
W 52
R 20
R 134
R 19
W 545
W 118
R 117
R 137
W 22
R 82
R 58
R 70
R 119
R 117
R 144
R 131
W 147
R 149
R 148
R 121
R 6
R 123
W 94
W 42
R 51
W 106
W 75
W 64
W 1340
R 97
W 63
R 49
R 142
R 126
W 97
W 108
W 3
R 86
R 125
R 149
R 60
R 3
R 131
R 48
R 70
R 113
R 20
R 132
W 179
R 30
W 62
R 70
R 43
R 61
W 78
W 2
R 60
R 122
R 79
R 36
R 23
W 59
W 12
R 29
R 122
R 71
W 977
R 16
R 134
R 57
R 13
R 10
W 56
R 123
R 605
R 58
R 7
W 64
R 135
R 44
W 43
R 21
R 62
R 433
R 134
R 31
R 118
W 1324
W 138
R 55
R 146
R 50
W 142
W 92
R 127
R 124
W 1296
R 93
W 88
W 75
W 1105
R 1083
W 133
W 51
W 51
W 90
W 411
R 56
W 24
R 53
W 53
W 82
R 141
R 137
W 44
R 80
R 119
R 139
R 689
R 83
R 5
W 137
W 68
W 99
R 88
R 144
W 30
R 88
R 82
R 31
W 9
R 35
R 17
R 104
R 113
W 89
R 123
R 27
R 1242
W 54
W 75
R 42
W 53
R 78
W 121
R 105
R 84
R 138
W 108
W 111
W 135
W 94
W 145
W 126
R 37
R 107
R 1303
W 94
W 105
W 17
W 956
R 137
W 32
R 107
R 125
R 45
R 107
W 141
R 65
R 893
W 129
R 40
R 82
W 124
R 139
R 68
W 112
W 1071
R 127
R 8
R 11
W 22
R 1453
R 116
R 74
R 144
R 5
W 1172
R 113
R 109
R 149
R 133
R 107
W 39
W 116
W 135
R 141
W 153
W 111
W 39
W 62
W 81
W 63
W 104
R 22
R 115
W 112
W 100
R 125
R 63
W 32
W 51
W 1317
R 141
W 106
W 89
R 20
R 108
W 57
R 1429
W 33
W 119
R 149
R 5
R 115
R 65
W 96
W 129
W 95
W 8
R 58
R 45
R 511
R 132
R 60
R 85
R 6
R 27
R 43
R 24
W 35
R 57
R 95
R 48
R 56
W 49
R 145
R 597
W 820
W 76
R 114
W 719
W 105
R 99
R 137
R 134
W 61
W 138
W 62
R 75
W 1277
R 660
R 71
R 14
W 55
R 105
W 139
R 922
W 366
R 21
W 47
W 1
W 74
R 65
R 60
R 37
W 98
R 83
R 82
W 1110
R 8
R 24
W 102
R 39
R 145
R 63
W 103
W 56
W 0
R 49
W 1017
R 35
W 123
R 92
W 139
R 3
W 50
W 43
W 111
W 38
R 7
R 81
R 77
W 55
R 66
W 85
R 145
W 102
W 78
R 73
R 211
W 92
W 528
R 44
R 88
W 7
R 111
W 44
R 85
R 73
R 91
R 43
R 52
R 41
R 919
R 76
R 104
W 15
W 127
W 86
W 56
R 52
R 7
R 140
R 92
R 119
R 52
R 130
R 114
W 137
R 55
R 14
R 49
R 90
R 132
R 34
W 132
R 74
R 107
R 54
W 82
R 75
W 128
R 130
R 132
R 29
W 26
W 20
W 74
R 2
R 13
W 128
R 100
W 85
W 105
W 27
W 71
R 20
W 92
W 91
R 87
W 33
R 53
R 50
W 69
R 74
R 143
R 91
R 45
W 129
W 130
W 7
W 58
R 52
R 661
R 57
W 1
R 108
W 144
W 110
W 87
R 7
W 98
R 48
W 0
R 118
W 1321
W 96
R 142
R 0
R 89
W 64
W 111
R 877
R 1297
W 41
R 32
R 73
R 58
W 130
W 849
R 46
W 31
W 85
R 47
W 97
R 145
R 106
R 66
R 142
W 65
R 30
W 6
R 106
R 12
R 116
W 82
W 46
R 15
R 53
R 5
R 27
W 11
W 66
W 40
W 149
W 11
R 10
W 78
W 149
R 148
R 76
R 138
R 49
R 144
W 928
R 112
R 79
W 100
R 856
W 20
R 140
W 27
W 97
W 27
W 114
R 10
W 131
R 64
R 52
W 135
R 74
W 43
R 33
W 126
W 39
R 65
R 452
W 39
R 93
R 92
R 56
R 42
W 106
W 52
R 92
R 419
R 27
W 93
W 534
R 16
W 142
R 95
R 30
W 1296
R 50
R 14
W 52
W 68
W 48
R 66
W 1054
W 15
W 31
W 114
W 54
R 136
R 58
R 120
W 18
R 80
R 71
R 49
R 49
W 48
W 14
R 110
W 66
W 55
R 14
W 33
W 31
R 99
R 69
R 46
R 1498
R 71
R 313
R 148
R 740
R 117
R 133
R 33
R 81
W 136
W 84
W 34
W 145
R 136
R 112
R 142
W 99
R 110
W 23
W 148
R 4
R 40
W 131
R 8
W 45
R 125
R 125
W 92
W 144
W 463
R 143
R 111
W 63
W 65
R 143
W 149
R 97
W 93
W 148
W 30
W 42
W 76
